"","spp","N registros sujos","N de registros limpos","Classe","Ordem","Família","Gênero","Ameaçadas","Monitora","Especial","Nome_científico"
"1","Abrawayaomys_ruschii",8,0,"Mammalia","Rodentia","Muridae","Abrawayaomys",NA,NA,"0","Abrawayaomys ruschii Cunha & Cruz, 1979"
"2","Aburria_cujubi",9,0,"Aves","Galliformes","Cracidae","Aburria",1,1,"Ame_mon","Aburria cujubi"
"3","Aburria_cumanensis",4,0,"0","0","0","0",0,1,"Mon","0"
"4","Acanthagrion_chararum",4,0,"Insecta","Odonata","Coenagrionidae","Acanthagrion",NA,NA,"0","Acanthagrion chararum Calvert, 1909"
"5","Acanthagrion_hildegarda",3,0,"Insecta","Odonata","Coenagrionidae","Acanthagrion",NA,NA,"0","Acanthagrion hildegarda Gloger, 1967"
"6","Acanthagrion_jessei",5,0,"Insecta","Odonata","Coenagrionidae","Acanthagrion",NA,NA,"0","Acanthagrion jessei Leonard, 1977"
"7","Acanthagrion_longispinosum",5,0,"Insecta","Odonata","Coenagrionidae","Acanthagrion",NA,NA,"0","Acanthagrion longispinosum Leonard, 1977"
"8","Acanthagrion_peruvianum",1,0,"Insecta","Odonata","Coenagrionidae","Acanthagrion",NA,NA,"0","Acanthagrion peruvianum Leonard, 1977"
"9","Acanthagrion_rubrifrons",3,0,"Insecta","Odonata","Coenagrionidae","Acanthagrion",NA,NA,"0","Acanthagrion rubrifrons Leonard, 1977"
"10","Acanthagrion_tepuiense",1,0,"Insecta","Odonata","Coenagrionidae","Acanthagrion",NA,NA,"0","Acanthagrion tepuiense De Marmels, 1985"
"11","Acanthallagma_caeruleum",1,0,"Insecta","Odonata","Coenagrionidae","Acanthallagma",NA,NA,"0","Acanthallagma caeruleum Williamson & Williamson, 1924"
"12","Acanthallagma_luteum",4,0,"Insecta","Odonata","Coenagrionidae","Acanthallagma",NA,NA,"0","Acanthallagma luteum Williamson & Williamson, 1924"
"13","Acrobatornis_fonsecai",2,0,"Aves","Passeriformes","Furnariidae","Acrobatornis",1,0,"Ame","Acrobatornis fonsecai Pacheco, Whitney & Gonzaga, 1996"
"14","Actinote_bonita",3,0,"Insecta","Lepidoptera","Nymphalidae","Actinote",NA,NA,"0","Actinote bonita (Penz, 1996)"
"15","Actinote_carycina",1,0,"Insecta","Lepidoptera","Nymphalidae","Actinote",NA,NA,"0","Actinote carycina (Jordan, 1913)"
"16","Actinote_catarina",1,0,"Insecta","Lepidoptera","Nymphalidae","Actinote",NA,NA,"0","Actinote catarina (Penz, 1996)"
"17","Actinote_discrepans",2,0,"Insecta","Lepidoptera","Nymphalidae","Actinote",NA,NA,"0","Actinote discrepans D'Almeida, 1958"
"18","Actinote_eberti",2,0,"Insecta","Lepidoptera","Nymphalidae","Actinote",NA,NA,"0","Actinote eberti (Francini, Freitas & Penz, 2004)"
"19","Actinote_melanisans",4,0,"Insecta","Lepidoptera","Nymphalidae","Actinote",NA,NA,"0","Actinote melanisans OberthÃ¼r, 1917"
"20","Actinote_morio",1,0,"Insecta","Lepidoptera","Nymphalidae","Actinote",NA,NA,"0","Actinote morio morio (OberthÃ¼r, 1917)"
"21","Actinote_pellenea",2,0,"Insecta","Lepidoptera","Nymphalidae","Actinote",NA,NA,"0","Actinote pellenea"
"22","Actinote_quadra",2,0,"Insecta","Lepidoptera","Nymphalidae","Actinote",NA,NA,"0","Actinote quadra (Schaus, 1902)"
"23","Actinote_zikani",1,0,"Insecta","Lepidoptera","Nymphalidae","Actinote",NA,NA,"0","Actinote zikani DÂ´Almeida, 1951"
"24","Actitis_macularius",4,0,"Aves","Charadriiformes","Scolopacidae","Actitis",NA,NA,"0","Actitis macularius (Linnaeus, 1766)"
"25","Adelastes_hylonomos",4,0,"Amphibia","Anura","Microhylidae","Adelastes",NA,NA,"0","Adelastes hylonomos Zweifel, 1986"
"26","Adelophryne_adiastola",4,0,"Amphibia","Anura","Eleutherodactylidae","Adelophryne",NA,NA,"0","Adelophryne adiastola Hoogmoed & Lescure, 1984"
"27","Adelophryne_glandulata",7,0,"Amphibia","Anura","Eleutherodactylidae","Adelophryne",NA,NA,"0","Adelophryne glandulata LourenÃ§o de Moraes, Ferreira, Fouquet & Bastos, 2014"
"28","Adelophryne_maranguapensis",7,0,"Amphibia","Anura","Eleutherodactylidae","Adelophryne",1,0,"Ame","Adelophryne maranguapensis Hoogmoed, Borges & Cascon, 1994"
"29","Adelophryne_meridionalis",4,0,"Amphibia","Anura","Eleutherodactylidae","Adelophryne",NA,NA,"0","Adelophryne meridionalis Santana, Fonseca, Neves & Carvalho, 2012"
"30","Adelophryne_michelin",2,0,"Amphibia","Anura","Eleutherodactylidae","Adelophryne",NA,NA,"0","Adelophryne michelin LourenÃ§o de Moraes, Dias, Mira-Mendes, Oliveira, Barth, Ruas, Vences, SolÃ© & Bastos, 2018"
"31","Adelophryne_mucronata",8,0,"Amphibia","Anura","Eleutherodactylidae","Adelophryne",NA,NA,"0","Adelophryne mucronata LourenÃ§o-de-Moraes, SolÃ© & Toledo, 2012"
"32","Adelpha_atlantica",3,0,"Insecta","Lepidoptera","Nymphalidae","Adelpha",NA,NA,"0","Adelpha atlantica"
"33","Adelpha_epione",8,0,"Insecta","Lepidoptera","Nymphalidae","Adelpha",NA,NA,"0","Adelpha epione"
"34","Adelpha_herbita",3,0,"Insecta","Lepidoptera","Nymphalidae","Adelpha",NA,NA,"0","Adelpha herbita herbita Weymer, 1907"
"35","Adelpha_nea",7,0,"Insecta","Lepidoptera","Nymphalidae","Adelpha",NA,NA,"0","Adelpha nea Hewitson, 1847"
"36","Adenomera_ajurauna",7,0,"Amphibia","Anura","Leptodactylidae","Adenomera",NA,NA,"0","Adenomera ajurauna (Berneck, Costa & Garcia, 2008)"
"37","Adenomera_cotuba",5,0,"Amphibia","Anura","Leptodactylidae","Adenomera",NA,NA,"0","Adenomera cotuba Carvalho & Giaretta, 2013"
"38","Adenomera_engelsi",9,0,"Amphibia","Anura","Leptodactylidae","Adenomera",NA,NA,"0","Adenomera engelsi Kwet, Steiner & Zillikens, 2009"
"39","Adenomera_juikitam",2,0,"Amphibia","Anura","Leptodactylidae","Adenomera",NA,NA,"0","Adenomera juikitam Carvalho & Giaretta, 2013"
"40","Adenomera_martinezi",2,0,"Amphibia","Anura","Leptodactylidae","Adenomera",NA,NA,"0","Adenomera martinezi (Bokermann, 1956)"
"41","Aeolagrion_dorsale",3,0,"Insecta","Odonata","Coenagrionidae","Aeolagrion",NA,NA,"0","Aeolagrion dorsale (Burmeister, 1839)"
"42","Aeria_elara",8,0,"Insecta","Lepidoptera","Nymphalidae","Aeria",NA,NA,"0","Aeria elara"
"43","Aeschnosoma_auripennis",5,0,"Insecta","Odonata","Corduliidae","Aeschnosoma",NA,NA,"0","Aeschnosoma auripennis Geijskes, 1970"
